permalink,tweet_nonce,tweet_id,user_id,username,fullname,posted_time,reply_count,retweet_count,favorite_count,body
https://twitter.com/HulkHogan/status/960152768450265088,960152768450265088-2cfd7ec1-1d7b-46e5-afae-0e3d45a52808,960152768450265088,179932936,@HulkHogan,Hulk Hogan,1517753233,0,0,0,"Super Bowl Sunday at N Beach,but it’s really”Leg Day Brother”!!!   Biggest decision of the day is should I pound Miller Lights in the can,”out of the can and into the Man” ,”or get crunk with some frozen cold Modelo! Maby a taste test in a while,”only on facebooklive today lol HH"
https://twitter.com/sarahkendzior/status/959672045234802689,959672045234802689-a4404b11-d073-491e-aa07-c9b822033e48,959672045234802689,47475039,@sarahkendzior,Sarah Kendzior,1517638620,0,0,0,Trump Might Test a Nuke 'for Political Purposes' http://www.esquire.com/news-politics/politics/a16432584/trump-test-nuclear-weapon-politics/ …
https://twitter.com/MazeRunnerMovie/status/959607822060158976,959607822060158976-d13112b5-5e6a-43f6-b030-c0c92eca8feb,959607822060158976,785493949,@MazeRunnerMovie,The Death Cure,1517623308,0,0,0,"Thomas and Newt’s friendship is put to the test in #DeathCure, in theaters now. http://MazeRunnerTickets.com pic.twitter.com/hQxGrRFjjV"
https://twitter.com/ErebusMsr/status/960261138423472128,960261138423472128-1bbd7289-2538-42a5-9bc7-0b89f6d06f10,960261138423472128,734354475314466816,@ErebusMsr,SOUDE,1517779070,1,3,9,We even got pap pics of B when she peed on pregnancy test
https://twitter.com/PVPLive/status/960259181088567296,960259181088567296-5076fafa-9064-440d-a5b9-17fd0bca2f47,960259181088567296,1129882992,@PVPLive,PvP Live,1517778604,3,2,11,Let us spell somethin out for you. F. R. E. E. There's no cost to you. Join up and test out the future of online tournaments!PS4: http://pvp.live/5Ej8 XB1: http://pvp.live/VdTb4yK pic.twitter.com/pxPTnaw77q
https://twitter.com/itvnews/status/960249746949591047,960249746949591047-ccbd5ce8-ccf8-4bb5-bc43-75d6eb856e5f,960249746949591047,21866939,@itvnews,ITV News,1517776354,4,22,15,Thousands of cervical cancer screening test samples are being reviewed after an issue was discovered in a laboratory in England's South East http://www.itv.com/news/2018-02-04/more-than-2-000-cervical-screening-tests-reviewed-after-laboratory-error/ …pic.twitter.com/wHfqpoLJzf
https://twitter.com/russliquid/status/960225203002527744,960225203002527744-2cae56bb-e4bd-4eb2-a7c7-28ed7faca704,960225203002527744,26459251,@russliquid,the RusS LiQuiD TeSt,1517770503,2,4,40,Superbowl should b a weed holiday.
https://twitter.com/SInow/status/960228217666719745,960228217666719745-085b16dd-217e-434a-a95f-18980fb66a8e,960228217666719745,28370738,@SInow,Sports Illustrated,1517771221,3,31,88,"We asked the Pats who said it: Bill Belichick or Squidward?SpongeBob fans and #Patriots fans, test your knowledge  pic.twitter.com/Tdwubl489O"
https://twitter.com/BigCheds/status/960259694282661888,960259694282661888-b0c7c0b3-e775-4f1f-8f3f-3c4ff3f98b32,960259694282661888,129935623,@BigCheds,Cheds Trading [LTC],1517778726,5,2,11,$BTC #bitcoin critical support area test pic.twitter.com/EI2ZVJjPUD
https://twitter.com/MolMollieveitch/status/960253498872008706,960253498872008706-40520ab5-97c2-4f1c-be43-43ce80ba1bff,960253498872008706,2617741312,@MolMollieveitch,Molllllie  🌻,1517777249,3,1,5,Driving test approaching. Failure approaching !!!!!!!!!!!!!!!!!!
